DivisionNm,PartyAb,PartyNm,Surname,GivenNm
Groom,LNP,Liberal National Party of Queensland,HAMILTON,Garth
Dawson,ALP,Australian Labor Party,HAMILTON,Shane
Curtin,LP,Liberal,HAMMOND,Celia
Cowan,UAPP,United Australia Party,HAND,Claire Elizabeth
Banks,GRN,The Greens,HANNA,Natalie
Leichhardt,UAPP,United Australia Party,HANNAGAN,Daniel Lucas
Franklin,JLN,Jacqui Lambie Network,HANNAN,Chris
Holt,UAPP,United Australia Party,HANSEN,Gerardine
Gippsland,ON,Pauline Hanson's One Nation,HANSFORD,Greg
Barker,CYA,Australian Federation Party,HANTON,Kym
Moncrieff,UAPP,United Australia Party,HAPP,Diane Olga
Hawke,LP,Liberal,HAQUE,Enamul
Kooyong,UAPP,United Australia Party,HARDIMAN,Scott Andrew
Capricornia,UAPP,United Australia Party,HARDING,Nathan Luke
Parkes,IAP,Indigenous - Aboriginal Party of Australia,HARDMAN,Derek
McPherson,ON,Pauline Hanson's One Nation,HARGRAVES,Kevin
Macnamara,LP,Liberal,HARKIN,Colleen
Boothby,CYA,Australian Federation Party,HARRIS,Peter
Eden-Monaro,GRN,The Greens,HARRIS,Vivian
Mallee,ALP,Australian Labor Party,HART,Carole
Bass,ALP,Australian Labor Party,HART,Ross
Canning,LP,Liberal,HASTIE,Andrew
Mitchell,LP,Liberal,HAWKE,Alex
Herbert,KAP,Katter's Australian Party (KAP),HAWKS,Clynton
Menzies,ON,Pauline Hanson's One Nation,HAYES,John
Fairfax,IMO,Informed Medical Options Party,HAZELTON,Wendy
Brand,CYA,Australian Federation Party,HEFFERNAN,Malcolm
Banks,ON,Pauline Hanson's One Nation,HEFFERNAN,Malcolm Phillip
Cowper,IND,Independent,HEISE,Caz
Grayndler,ON,Pauline Hanson's One Nation,HENSELIN,Paul
McEwen,LDP,Liberal Democrats,HERRON,John
Bean,LP,Liberal,HIATT,Jane
Monash,ON,Pauline Hanson's One Nation,HICKEN,Allan
Macnamara,UAPP,United Australia Party,HICKEY,Jane Elizabeth
Macquarie,GRN,The Greens,HICKEY,Tony
Wright,ON,Pauline Hanson's One Nation,HICKS,Keith
Bruce,ALP,Australian Labor Party,HILL,Julian
Barker,GRN,The Greens,HILLAM,Rosa
Swan,UAPP,United Australia Party,HILTON,Paul
Franklin,ON,Pauline Hanson's One Nation,HINDLEY,Steve
Maribyrnong,GAP,The Great Australian Party,HOBART,Mark Michael
Macnamara,GVIC,The Greens,HODGINS-MAY,Steph
Page,NP,The Nationals,HOGAN,Kevin
Brisbane,ON,Pauline Hanson's One Nation,HOLD,Trevor
Eden-Monaro,SPP,Sustainable Australia Party - Stop Overdevelopment / Corruption,HOLGATE,James
Forde,TNL,TNL,HOLLAND,Samuel
