bylines,band,n_ads,total_spend,pre_spend_s,post_spend_s,persistence,centroid_weeks,ec_index
Goods International Pty Ltd,election_only,252,12674.0,0.0,12674.0,,6.384380847178701,0.7544468904931267
Gordon Rich-Phillips MLC,ongoing,286,16457.0,5482.833333333333,11069.208333333332,2.0188847007325896,2.9376605461202288,0.6084978699245823
Grace Grace MP,ongoing,27,1536.5,152.625,1388.0,9.094185094185095,16.191921182266007,0.22700042351157973
Great Barrier Reef Foundation,ongoing,98,131101.0,37781.0,93132.70833333333,2.4650673177876,3.360706750534465,0.5993151494994472
Great Plastic Rescue,election_only,27,1536.5,0.0,1536.5,,10.236739342661894,0.6062792560514656
Greener,election_only,24,1188.0,1188.0,0.0,0.0,-3.214285714285714,0.8763736263736263
Greenfleet,ongoing,870,70065.0,28324.375,44968.79166666667,1.5876357966121644,0.8756379711874657,0.4963790512980522
Greening Australia,ongoing,266,30567.0,7452.333333333333,26835.749999999996,3.600986268282864,0.9855140217741897,0.6449953564907253
Greenpeace Australia Pacific,ongoing,9661,1556769.5,819136.3333333334,745912.125,0.9106080326880873,0.007412572851986904,0.4662418624632735
Greg Hunt MP,election_only,40,7980.0,7996.5,0.0,0.0,-9.46806861930666,0.6359285449746901
Gregory Brown,election_only,41,2829.5,0.0,2829.5,,13.911001438921566,0.46496148311840124
Guardian Labs,transitional,29,6535.5,4415.625,2178.625,0.49338995046001416,1.0714746072064947,0.5644465478790839
HEATHER LYNN HOLMES-ROSS,transitional,24,2088.0,1574.5,546.5,0.3470943156557637,-5.146275341819896,0.43934866406577877
HSU National,election_only,57,35321.5,35799.666666666664,0.0,0.0,-3.6836743957445726,0.8583202155482855
Hawkesbury Matters,election_only,21,1139.5,1024.0,99.0,0.0966796875,-8.137148581605395,0.5562507950642411
Hawthorn Independents,off_campaign,22,30489.0,0.0,30585.708333333332,,21.788724269952567,0.16264790019076134
Hayley Edwards,transitional,37,2031.5,1289.0,767.25,0.5952288595810706,-7.22984802431611,0.5067934800761549
Health Care Providers Association,ongoing,79,202760.5,45695.583333333336,167525.41666666666,3.666118352065389,12.311703361211853,0.3315019088090221
Humane Society International Australia,ongoing,126,22137.0,11779.208333333334,10246.208333333334,0.8698554302956126,-0.06573763536174361,0.7685020802016317
Hume City Council,ongoing,27,2736.5,1071.375,1644.5,1.5349434138373586,6.049694586722247,0.3448871283362929
